"eV"	"N"	"Element"
8,6	0	"0"
54,3	3	"Li"
108,5	4	"Be"
183,3	5	"B"
277	6	"C"
392,4	7	"N"
524,9	8	"O"
676,8	9	"F"
848,6	10	"Ne"
1041	11	"Na"
1253,6	12	"Mg"
1486,5666666667	13	"Al"
1739,8	14	"Si"
2013,3666666667	15	"P"
2307,4	16	"S"
2621,8666666667	17	"Cl"
2957	18	"Ar"
3312,9	19	"K"
3690,5	20	"Ca"
4089,1	21	"Sc"
4508,8333333333	22	"Ti"
4949,6666666667	23	"V"
5411,6333333333	24	"Cr"
5895,0666666667	25	"Mn"
6399,4666666667	26	"Fe"
6925,2337748344	27	"Co"
7472,3569536424	28	"Ni"
8041,0450331126	29	"Cu"
8631,098013245	30	"Zn"
9242,6145695364	31	"Ga"
9875,8960264901	32	"Ge"
10531,642384106	33	"As"
11208,3736842105	34	"Se"
11908,2578947368	35	"Br"
12631,5526315789	36	"Kr"
13374,9447368421	37	"Rb"
14142,0447368421	38	"Sr"
14932,5710526316	39	"Y"
15746,2947368421	40	"Zr"
16582,9078947368	41	"Nb"
17443,3789473684	42	"Mo"
2423,6036036036	43	"Tc"
2558,1738738739	44	"Ru"
2696,2342342342	45	"Rh"
2838,0747747748	46	"Pd"
2983,6954954955	47	"Ag"
3133,0261261261	48	"Cd"
3286,1468468469	49	"In"
3443,1477477478	50	"Sn"
3603,7684684685	51	"Sb"
3768,2594594595	52	"Te"
3936,4504504505	53	"I"
4108,2252252252	54	"Xe"
4285,0828828829	55	"Cs"
4464,7738738739	56	"Ba"
4649,3351351351	57	"La"
4838,4954954955	58	"Ce"
5031,6981981982	59	"Pr"
5228,1504504505	60	"Nd"
5429,6216216216	61	"Pm"
5633,4144144144	62	"Sm"
5842,8162162162	63	"Eu"
6054,009009009	64	"Gd"
6269,3513513514	65	"Tb"
6491,4837837838	66	"Dy"
6715,8063063063	67	"Ho"
6944,3693693694	68	"Er"
7175,2621621622	69	"Tm"
7410,8135135135	70	"Yb"
7650,4855855856	71	"Lu"
7893,609009009	72	"Hf"
8140,3324324324	73	"Ta"
8391,4162162162	74	"W"
8645,9297297297	75	"Re"
8904,6936936937	76	"Os"
9167,6081081081	77	"Ir"
9434,3225225225	78	"Pt"
9704,8468468469	79	"Au"
9979,7621621622	80	"Hg"
10259,0162162162	81	"Tl"
10541,3918918919	82	"Pb"
10828,1072072072	83	"Bi"
12952,9333333333	90	"Th"
13597,2684684685	92	"U"
