"","counts","E"
"1",98,0.7336680304
"2",109,0.7331924459
"3",118,0.7327175098
"4",133,0.7322432207
"5",107,0.7317695773
"6",129,0.7312965782
"7",132,0.7308242223
"8",146,0.7303525082
"9",127,0.7298814347
"10",130,0.7294110004
"11",131,0.7289412041
"12",136,0.7284720445
"13",181,0.7280035203
"14",176,0.7275356304
"15",175,0.7270683733
"16",168,0.7266017479
"17",169,0.7261357529
"18",196,0.725670387
"19",212,0.725205649
"20",221,0.7247415377
"21",203,0.7242780518
"22",216,0.72381519
"23",235,0.7233529512
"24",280.1,0.7228913341
"25",266.1,0.7224303374
"26",268.1,0.72196996
"27",315.1,0.7215102005
"28",272.1,0.7210510579
"29",327.1,0.7205925309
"30",334.1,0.7201346182
"31",334.1,0.7196773187
"32",343.1,0.7192206311
"33",359.1,0.7187645543
"34",404.1,0.718309087
"35",382.1,0.717854228
"36",341.1,0.7173999762
"37",363.1,0.7169463304
"38",362.1,0.7164932893
"39",394.1,0.7160408518
"40",363.1,0.7155890167
"41",401.1,0.7151377828
"42",390.1,0.714687149
"43",402.1,0.7142371141
"44",410.1,0.7137876768
"45",392.1,0.7133388361
"46",428.1,0.7128905907
"47",414.1,0.7124429396
"48",358.1,0.7119958815
"49",416.1,0.7115494153
"50",453.2,0.7111035399
"51",433.2,0.710658254
"52",484.2,0.7102135566
"53",493.2,0.7097694465
"54",483.2,0.7093259226
"55",541.2,0.7088829837
"56",532.2,0.7084406287
"57",570.3,0.7079988564
"58",593.3,0.7075576658
"59",583.3,0.7071170558
"60",619.3,0.7066770251
"61",634.3,0.7062375726
"62",660.4,0.7057986973
"63",639.3,0.7053603981
"64",647.3,0.7049226738
"65",642.3,0.7044855233
"66",656.3,0.7040489455
"67",674.4,0.7036129394
"68",622.3,0.7031775037
"69",642.3,0.7027426375
"70",594.3,0.7023083396
"71",551.2,0.7018746089
"72",656.3,0.7014414444
"73",560.3,0.7010088449
"74",545.2,0.7005768094
"75",529.2,0.7001453368
"76",524.2,0.699714426
"77",469.2,0.6992840759
"78",466.2,0.6988542855
"79",419.1,0.6984250538
"80",419.1,0.6979963795
"81",402.1,0.6975682617
"82",363.1,0.6971406994
"83",339.1,0.6967136914
"84",340.1,0.6962872367
"85",342.1,0.6958613342
"86",326.1,0.695435983
"87",298.1,0.6950111818
"88",289.1,0.6945869298
"89",246,0.6941632259
"90",240,0.6937400689
"91",231,0.693317458
"92",215,0.692895392
"93",217,0.6924738699
"94",210,0.6920528907
"95",162,0.6916324534
"96",193,0.6912125569
"97",165,0.6907932003
"98",165,0.6903743824
"99",143,0.6899561023
"100",166,0.689538359
"101",137,0.6891211514
"102",143,0.6887044786
"103",132,0.6882883396
"104",119,0.6878727332
"105",114,0.6874576587
"106",125,0.6870431148
"107",114,0.6866291007
"108",105,0.6862156154
"109",93,0.6858026578
"110",89,0.685390227
"111",96,0.684978322
"112",91,0.6845669418
"113",80,0.6841560854
"114",85,0.6837457518
"115",66,0.6833359402
"116",82,0.6829266494
"117",79,0.6825178785
